Price	Close	Close	Close	High	High	High	Low	Low	Low	Open	Open	Open	Volume	Volume	Volume
Ticker	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE
Date															
27-06-23	170.3388214	118.2223129	149.6958313	170.3388214	119.1031023	150.1518694	164.0407422	118.0070062	148.1946908	167.8195838	118.8486557	148.593726	90835	1169297	1065494
28-06-23	174.6990356	120.7668304	145.0974121	175.2803879	121.0995718	151.672018	171.0170786	118.5746308	142.8932014	171.0170786	118.8878022	151.0069595	63713	1203918	2094689
29-06-23	177.1213684	120.7472534	143.0642242	177.4120519	121.6476277	145.2114175	173.9238791	120.1209107	142.2471481	174.9897138	120.5515241	143.9003062	47788	1130806	2239915
30-06-23	177.7027283	122.4697037	144.9263916	178.4778795	122.4697037	145.6864648	176.0555412	120.2579265	142.399169	177.3151601	120.66897	144.1663329	60318	2145623	2318768
03-07-23	175.0866089	120.4928055	141.3540497	179.1561343	122.9198818	145.2304093	174.8928248	120.081762	140.6319882	178.2840984	121.8042083	145.1734064	34594	1395857	1499077
04-07-23	174.2145691	120.7668304	139.6629181	176.3462238	121.2757311	141.9811348	172.9549503	120.179635	139.4538976	175.0866049	120.2774997	141.6581084	32098	473107	853741
05-07-23	177.315155	120.3557968	138.560791	178.4778744	120.8059802	139.8909225	174.6021333	119.5728646	138.0097384	174.6021333	119.5924346	138.7128085	55378	1056465	1156017
06-07-23	173.5363159	118.7703629	135.1214905	176.4431218	121.4323234	138.2567832	173.2456324	118.3788968	134.9884788	176.4431218	120.8646979	137.5917246	43346	1843332	1424185
07-07-23	174.4083557	118.8486557	135.5015106	175.377291	119.7685924	136.5466129	172.276701	118.0657235	134.6464374	174.0207875	118.5942016	135.0074754	46134	1454128	1251523
10-07-23	174.6021271	119.709877	137.1736755	175.5710623	119.9251837	137.1736755	172.761156	118.0070081	134.399421	173.4394077	118.0070081	134.8174475	41409	1108675	1036665
11-07-23	175.9586487	120.4928055	138.6938019	181.7722602	120.9625588	138.9598253	175.2803822	119.5728613	136.8506294	180.6095261	120.3949334	138.1997667	52164	1062702	1130790
12-07-23	179.7374878	122.8024521	141.8101044	179.9312719	123.0373288	142.3041541	175.7648474	120.3753682	138.7508204	176.7337826	121.0408583	139.8909374	45775	1732777	1497509
13-07-23	178.6716614	125.1903763	142.9882202	179.9312802	125.6209897	143.1972407	177.508942	123.3504954	140.1569625	179.156129	123.6832367	141.9431178	32186	1894956	1335566
14-07-23	175.4741821	125.9733124	143.0832214	178.4778726	126.1886191	143.5962624	174.8928151	124.5640374	142.4751659	178.3809879	125.2686749	142.9882069	49860	1190513	1111371
17-07-23	177.315155	125.6601257	142.4371643	180.609529	125.7579979	142.9692112	174.6021333	124.1334162	141.0500442	179.2530256	125.2490972	142.2661555	57619	900061	648203
18-07-23	178.865448	125.4839783	142.703186	179.4468003	126.0907436	142.703186	177.0244622	124.8576355	141.2970601	177.5089298	125.6209903	142.2281421	35144	999195	701015
19-07-23	177.5089417	125.2686691	141.0500488	179.4468122	126.7758012	143.6152831	176.9275893	124.8967805	140.9550342	177.412057	126.2473306	143.4632656	48403	1590066	938058
20-07-23	176.1524353	123.6832352	143.8432922	177.7027229	124.3487253	143.8432922	174.602133	122.6654263	139.567897	176.4431188	124.1725659	140.6129994	44031	1852413	1135077
21-07-23	161.1339417	118.4963379	144.0333099	169.5636757	119.9056054	144.3753421	159.4867546	116.7934615	142.8551959	168.5947404	118.6137725	143.4632515	192126	3826234	1234554
24-07-23	165.300354	117.2240753	143.5582733	165.300354	119.0443863	143.9573085	159.0022751	117.028346	142.3231563	161.8121813	117.9287128	143.4632587	92247	1662527	761189
25-07-23	165.300354	117.8308487	144.2233276	166.4630733	117.9874307	144.2233276	163.2655841	116.4998684	142.437158	164.718987	117.1653586	143.5392633	73093	1365577	644680
26-07-23	165.6879272	116.7934647	143.3492432	166.0754954	117.967863	144.3753397	163.071805	115.9909625	141.7530882	164.5252079	117.7721262	143.9382929	70043	1580287	1045831
27-07-23	168.9822998	120.6689682	147.9096527	169.6605663	121.0408569	148.1756906	165.2034583	116.8913341	142.8931906	166.1723935	117.1457808	143.4442432	67230	2472884	1480774
28-07-23	168.9822998	120.9429855	146.5795441	172.3735731	121.3735915	147.4536231	166.9475447	119.8273121	145.0404065	168.7885157	120.0817587	147.0355822	54301	1585862	1377245
31-07-23	171.2108612	121.7454987	147.2445984	172.2766959	122.2543994	148.517727	168.9823071	120.6689724	145.3064257	169.0792065	120.8647018	146.1425076	64187	1252514	1227683
01-08-23	171.2108612	121.4127426	142.9502106	172.5673795	122.0782327	147.9666728	168.9823071	120.6102405	142.7981931	169.176106	121.569332	147.9666728	42787	1376922	1978397
